ua,tc,amt,amt_avg,cc,dwm,lzd
0x5b4afeb39fd6df7847a2d1c0225cf2f8f3952bf0,244,0.0,0.0,3 / 2 / 5,76 / 16 / 6,309
0xafc4b8a673dcd249c961731dad946bed62d85ea5,143,1.03,0.007202797202797203,6 / 28 / 15,28 / 15 / 5,104
0x62db2821ed27d5f8c7c7235b0405555fc7e85fef,102,0.31,0.00303921568627451,6 / 12 / 14,25 / 20 / 9,307
0xf8127d5d92fa3e5a4ba7e67e0df2128fb64dd7bc,112,0.14,0.00125,5 / 7 / 9,9 / 5 / 4,329
0x41cae7bdb43e74c45e496680bcfbd70925421701,243,0.0,0.0,3 / 2 / 4,74 / 13 / 6,309
0xc096e0f8bd2e04f88a9d761732b6724944676fc9,431,0.0,0.0,1 / 2 / 2,37 / 9 / 4,143
0x8ae8eefaf5d4afe94382075827909931f08851f8,103,0.33,0.0032038834951456313,6 / 13 / 11,23 / 18 / 10,307
0x7b26e71c7f89de31feb752d9b14219078fbd4585,186,0.0,0.0,2 / 4 / 7,20 / 13 / 9,729
0xdb68abdf255be02e403a3904f876e124594da8e9,245,0.24,0.0009795918367346938,1 / 1 / 1,1 / 1 / 1,294
0xdcf2c30d594f679b035ee8d57f2d7ab456dad378,223,0.0,0.0,2 / 13 / 3,62 / 15 / 5,96
0xfb0522e166d51aee14ac53b32c8cebbcf7d5dff5,104,0.64,0.006153846153846154,6 / 10 / 9,8 / 6 / 5,136
0x444e65e17f638b90e5be500bfc84f41787738a4b,222,0.0,0.0,2 / 13 / 2,60 / 15 / 5,96
0xcaf331a897594b6f8604d40439fe93f758348dea,128497,0.0,0.0,8 / 13 / 9,431 / 62 / 16,430
0x295251fe35df2f9448fd4dcf7129c8d323b9374b,107,0.32,0.0029906542056074765,6 / 7 / 9,6 / 5 / 4,74
0x9e9f94875742cbc789c6fc949c65155f8edff058,101,0.0,0.0,3 / 7 / 3,17 / 9 / 5,114
0x3811df72668e2b6770eeb0bcd8b20e48d377fe1f,106,0.36,0.0033962264150943396,6 / 15 / 12,25 / 19 / 10,307
0x08e084c8e222c18e6d6fd69e9d84864d01372dd9,116,0.33,0.0028448275862068967,6 / 12 / 12,25 / 19 / 10,307
0xdad6a703ed708a37465cda6a46cccae7d0aba1c4,101,0.11,0.0010891089108910892,5 / 7 / 9,7 / 5 / 4,329
0xe46b54118c32aa98d302977ca47247fe7564eb76,110,0.62,0.005636363636363636,4 / 14 / 4,13 / 10 / 6,272
0xf5085857d6d8d1bf0f9265738513f00bcb6d9ad4,247,0.0,0.0,3 / 2 / 4,76 / 15 / 7,309
0xe7c49fb79bae099d75980165c108c1e2135751b9,114,0.32,0.0028070175438596493,6 / 16 / 13,26 / 19 / 10,307
0xa319199c26cae3e4699f34b9ef6ddb76beb521a6,116,0.09,0.0007758620689655172,5 / 7 / 9,8 / 5 / 4,329
0xf5b729561782f9bebc9f932ae5e2df758004bfa6,251,0.0,0.0,3 / 2 / 3,76 / 14 / 5,309
0x587ab8650b108bbb5dfd5cc81471f335079d1d75,247,0.0,0.0,3 / 2 / 4,79 / 16 / 8,309
0x31e2e6111ae893043a000327bc1b2e4d436deff2,235,0.0,0.0,3 / 2 / 4,69 / 13 / 5,309
0x695149af1a0ba7886de1828d0d6b32445a2d7cb2,101,0.21,0.0020792079207920793,1 / 2 / 1,1 / 1 / 1,92
0xdbc7e9cdaee350f34f72f0687434de27c565fcb2,168,0.0,0.0,2 / 2 / 2,2 / 1 / 1,338
0x8d8f1d71654658c156c741ae9ad54c07ee043a8b,103,0.11,0.0010679611650485437,5 / 6 / 9,9 / 5 / 4,329
0xb93666c626058ed639cb3055476ff4c63afad80d,125,0.01,8e-05,4 / 15 / 6,14 / 14 / 11,340
0x9e5fb4fc8093473744ac2d189e1a8b4bf3bd382a,181,0.58,0.0032044198895027623,1 / 12 / 1,38 / 7 / 2,77
0x07e0d911ecbf66cc4039382caaca00d1be74780d,104,0.4,0.0038461538461538464,7 / 21 / 18,10 / 7 / 4,93
0xc2d89d5163f2c3e85920844153342d66e9179605,103,0.49,0.004757281553398058,6 / 13 / 10,24 / 18 / 10,307
0xb53237b2645d27ac7180e9df1a7e33bc0af22ed6,121,0.32,0.002644628099173554,6 / 11 / 12,24 / 18 / 9,307
0xece5a7dc041aa3b69c6ad36ca03c19df251a72d3,124,0.12,0.000967741935483871,5 / 7 / 9,9 / 5 / 4,329
0x8ba5a50bddc9b027c93ea9194e1ae2b044f97940,133,0.13,0.0009774436090225565,1 / 1 / 1,1 / 1 / 1,294
0xee852fcc48e5805cf15d0f64a0b8f7aba7a8917e,231,0.0,0.0,2 / 13 / 2,60 / 15 / 5,96
0x7ad40b3de98fed1a6ffe8d840143ec3b0af898a9,235,0.0,0.0,2 / 13 / 2,62 / 15 / 5,96
0x57941fc70daf9928cf1e03ae8b83af2bb6c6321a,114,0.34,0.0029824561403508773,6 / 12 / 9,6 / 5 / 3,104
0x040debbdb938c0a5ad0edac7ef9d609cc19b16fb,102,0.33,0.003235294117647059,7 / 16 / 16,10 / 8 / 3,93
0x592573138680892c0945a3e877013b2bc6af9f03,248,0.0,0.0,3 / 2 / 4,77 / 15 / 6,309
0x659a364365d5fb3f18f2c7b9e038d276ae255375,160,0.0,0.0,2 / 3 / 2,19 / 11 / 6,253
0xafaea243304911cd94008e58a4d9f69017de5a11,238,0.0,0.0,3 / 2 / 4,70 / 13 / 6,309
